GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tuntilista,wad.domain,PlannedEmployee,94,3,10,0,30,1,17,1,12,1
Tuntilista,wad.domain,Task,32,54,8,0,10,18,5,11,1,11
Tuntilista,wad.domain,PlannedTask,74,3,6,0,23,1,13,1,10,1
Tuntilista,wad.domain,Plan,56,3,4,0,20,1,13,1,11,1
Tuntilista,wad.domain,Employee,62,49,6,0,23,18,14,12,11,12
Tuntilista,wad.service,EmployeeUserRoleService,57,3,4,0,11,1,3,1,1,1
Tuntilista,wad,TuntilistaApplication,5,3,0,0,2,1,1,1,1,1
Tuntilista,wad.config,ProductionProfile,56,0,0,0,10,0,2,0,2,0
Tuntilista,wad.config,SecurityConfiguration,81,0,0,0,15,0,4,0,4,0
Tuntilista,wad.config,WebConfiguration,0,22,0,0,0,4,0,2,0,2
Tuntilista,wad.config,WebMvcConfiguration,3,0,0,0,1,0,1,0,1,0
Tuntilista,wad.config,DefaultSecurityConfiguration,0,144,0,0,0,23,0,3,0,3
Tuntilista,wad.controller,EmployeeController,116,22,3,1,27,6,6,3,4,3
Tuntilista,wad.controller,DefaultController,4,3,0,0,2,1,2,1,2,1
Tuntilista,wad.controller,TaskController,71,12,4,0,19,3,7,2,5,2
Tuntilista,wad.controller,PlanController,238,26,12,0,55,5,10,2,4,2
